ID,Product Name,Category,Price,Tax
1,Product_1,Category_11,255.29,2.04
2,Product_2,Category_7,0.67,15.23
3,Product_3,Category_7,174.62,15.23
4,Product_4,Category_8,13.38,4.87
5,Product_5,Category_6,397.89,10.37
6,Product_6,Category_14,456.33,18.89
7,Product_7,Category_12,185.57,16.64
8,Product_8,Category_7,252.01,15.23
9,Product_9,Category_19,183.88,12.09
10,Product_10,Category_3,427.60,9.60
11,Product_11,Category_6,444.62,10.37
12,Product_12,Category_15,365.28,5.71
13,Product_13,Category_2,450.45,5.19
14,Product_14,Category_8,163.91,4.87
15,Product_15,Category_7,241.08,15.23
16,Product_16,Category_4,316.86,7.07
17,Product_17,Category_12,320.35,16.64
18,Product_18,Category_1,410.90,1.59
19,Product_19,Category_19,497.58,12.09
20,Product_20,Category_20,45.92,7.01
21,Product_21,Category_2,168.56,5.19
22,Product_22,Category_17,156.91,8.62
23,Product_23,Category_13,349.50,9.82
24,Product_24,Category_9,481.64,17.02
25,Product_25,Category_15,124.27,5.71
26,Product_26,Category_20,230.66,7.01
27,Product_27,Category_16,75.94,10.21
28,Product_28,Category_7,296.10,15.23
29,Product_29,Category_9,482.06,17.02
30,Product_30,Category_12,128.07,16.64
31,Product_31,Category_13,61.30,9.82
32,Product_32,Category_17,348.76,8.62
33,Product_33,Category_17,57.08,8.62
34,Product_34,Category_11,27.17,2.04
35,Product_35,Category_16,351.37,10.21
36,Product_36,Category_2,423.38,5.19
37,Product_37,Category_6,8.55,10.37
38,Product_38,Category_16,408.72,10.21
39,Product_39,Category_4,239.01,7.07
40,Product_40,Category_15,354.93,5.71
41,Product_41,Category_16,95.50,10.21
42,Product_42,Category_3,346.78,9.60
43,Product_43,Category_16,373.55,10.21
44,Product_44,Category_1,7.80,1.59
45,Product_45,Category_13,313.87,9.82
46,Product_46,Category_5,360.23,15.25
47,Product_47,Category_1,87.83,1.59
48,Product_48,Category_19,433.71,12.09
49,Product_49,Category_2,284.78,5.19
50,Product_50,Category_18,472.02,1.76
51,Product_51,Category_3,61.55,9.60
52,Product_52,Category_16,465.60,10.21
53,Product_53,Category_6,188.99,10.37
54,Product_54,Category_12,231.57,16.64
55,Product_55,Category_12,184.90,16.64
56,Product_56,Category_6,167.53,10.37
57,Product_57,Category_6,138.40,10.37
58,Product_58,Category_12,82.38,16.64
59,Product_59,Category_6,84.27,10.37
60,Product_60,Category_18,33.93,1.76
61,Product_61,Category_14,327.44,18.89
62,Product_62,Category_16,326.50,10.21
63,Product_63,Category_9,386.04,17.02
64,Product_64,Category_6,439.74,10.37
65,Product_65,Category_5,453.32,15.25
66,Product_66,Category_6,335.11,10.37
67,Product_67,Category_5,39.90,15.25
68,Product_68,Category_7,445.91,15.23
69,Product_69,Category_14,395.84,18.89
70,Product_70,Category_10,338.17,1.96
71,Product_71,Category_9,68.79,17.02
72,Product_72,Category_2,251.96,5.19
73,Product_73,Category_8,378.14,4.87
74,Product_74,Category_6,48.58,10.37
75,Product_75,Category_18,17.72,1.76
76,Product_76,Category_4,260.99,7.07
77,Product_77,Category_18,93.14,1.76
78,Product_78,Category_15,111.92,5.71
79,Product_79,Category_12,137.79,16.64
80,Product_80,Category_4,430.44,7.07
81,Product_81,Category_2,334.42,5.19
82,Product_82,Category_17,106.35,8.62
83,Product_83,Category_13,279.04,9.82
84,Product_84,Category_10,310.92,1.96
85,Product_85,Category_11,382.36,2.04
86,Product_86,Category_8,122.55,4.87
87,Product_87,Category_16,336.49,10.21
88,Product_88,Category_7,374.25,15.23
89,Product_89,Category_4,397.87,7.07
90,Product_90,Category_12,378.81,16.64
91,Product_91,Category_1,443.13,1.59
92,Product_92,Category_4,388.27,7.07
93,Product_93,Category_19,314.00,12.09
94,Product_94,Category_15,89.21,5.71
95,Product_95,Category_15,363.89,5.71
96,Product_96,Category_12,184.21,16.64
97,Product_97,Category_13,102.65,9.82
98,Product_98,Category_3,295.64,9.60
99,Product_99,Category_11,150.87,2.04
100,Product_100,Category_12,70.61,16.64
101,Product_101,Category_18,481.69,1.76
102,Product_102,Category_2,331.37,5.19
103,Product_103,Category_7,24.78,15.23
104,Product_104,Category_19,361.32,12.09
105,Product_105,Category_2,386.82,5.19
106,Product_106,Category_16,433.34,10.21
107,Product_107,Category_2,75.61,5.19
108,Product_108,Category_16,457.70,10.21
109,Product_109,Category_12,245.47,16.64
110,Product_110,Category_7,29.61,15.23
111,Product_111,Category_11,142.79,2.04
112,Product_112,Category_4,439.07,7.07
113,Product_113,Category_8,22.44,4.87
114,Product_114,Category_18,187.17,1.76
115,Product_115,Category_18,409.19,1.76
116,Product_116,Category_2,30.08,5.19
117,Product_117,Category_4,262.54,7.07
118,Product_118,Category_15,15.27,5.71
119,Product_119,Category_4,295.32,7.07
120,Product_120,Category_3,462.47,9.60
121,Product_121,Category_1,417.82,1.59
122,Product_122,Category_13,166.43,9.82
123,Product_123,Category_17,27.52,8.62
124,Product_124,Category_6,295.03,10.37
125,Product_125,Category_3,404.70,9.60
126,Product_126,Category_18,495.82,1.76
127,Product_127,Category_2,359.45,5.19
